id,DEC_processed
302290000,fish fresh chilled excluding fish fillet fish meat heading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading
302310000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading albacore longfinned tuna thunnus alalunga
302320000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading yellowfin tuna thunnus albacares
302330000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading skipjack tuna stripebellied bonito katsuwonus pelamis
302340000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading bigeye tuna thunnus obesus
302351000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading atlantic bluefin tuna thunnus thynnus
302352000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading pacific bluefin tuna thunnus orientalis
302360000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading southern bluefin tuna thunnus maccoyii
302390000,fish fresh chilled excluding fish fillet fish meat heading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading tuna genus thunnus skipjack tuna stripebellied bonito katsuwonus pelamis excluding edible fish offal subheading
302410000,fish fresh chilled excluding fish fillet fish meat heading herring clupea harengus clupea pallasii anchovy engraulis spp sardine sardina pilchardus sardinops spp sardinella sardinella spp brisling sprat sprattus sprattus mackerel scomber scombrus scomber australasicus scomber japonicus indian mackerel rastrelliger spp seerfishes scomberomorus spp jack horse mackerel trachurus spp jack crevalles caranx spp cobia rachycentron canadum silver pomfret pampus spp pacific saury cololabis saira scad decapterus spp capelin mallotus villosus swordfish xiphias gladius kawakawa euthynnus affinis bonito sarda spp marlin sailfish spearfish istiophoridae excluding edible fish offal subheading herring clupea harengus clupea pallasii anchovy engraulis spp sardine sardina pilchardus sardinops spp sardinella sardinella spp brisling sprat sprattus sprattus mackerel scomber scombrus scomber australasicus scomber japonicus indian mackerel rastrelliger spp seerfishes scomberomorus spp jack horse mackerel trachurus spp jack crevalles caranx spp cobia rachycentron canadum silver pomfret pampus spp pacific saury cololabis saira scad decapterus spp capelin mallotus villosus swordfish xiphias gladius kawakawa euthynnus affinis bonito sarda spp marlin sailfish spearfish istiophoridae excluding edible fish offal subheading herring clupea harengus clupea pallasii
